Tipo,Nome,Atribuir,Status,Prioridade,Data límite,Dias restantes,KPI planejado,KPI real,KPI Gap,Orçamento planejado,Orçamento Real,Lacuna de orçamento,Link
Resultado chave,Junte-se a um evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Active,,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Goal&entityId=59d456ee-3a59-4271-a479-efe43110f7e5&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço para remover participante (sair do evento),"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=dc73e893-e738-4985-b1e9-0069b3320634&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço para adicionar participante (usuario logado),"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=6b1a6a5f-da6a-437a-8780-d33e4e006d7f&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Tela para o usuario se adicionar a um evento existente,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=9af3eff3-534e-4cc1-b38a-b7cf17a569e7&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Resultado chave,Criar um evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Active,,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Goal&entityId=7ea436f5-8fc8-4f1d-841e-22af2fbfaa5c&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço para criar evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=cd2da86e-a542-4503-bbe6-565174a40638&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Tela para criar um evento (formulario simples),"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=854ae50b-9fd0-40b6-b92a-85b043c8723d&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Resultado chave,Pagina do evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Active,,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Goal&entityId=5ecbc786-0d74-4194-8215-5c0caa8ba07e&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço para excluir evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=8f85cce9-7928-4356-9940-a6d082567e18&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço para editar evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=e3523fec-9f81-45ba-a1e1-7c2b9ac7e3d1&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço de listar detalhes de evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=2944795e-806b-412a-b511-17e4ca9f3a6c&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,DB - Tabela de Eventos participantes,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,5 de mar. de 2023,12,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=eb594b62-efd9-484f-b6b2-eb322de60f80&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,DB - Tabela de Eventos,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,5 de mar. de 2023,12,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=e806a4c5-04a0-433b-b670-799ccd46a279&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Acao de editar evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=008faefb-dd2f-4475-b148-da3d45693154&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Ação de excluir evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=67f20ba9-a9fd-457d-bf98-2ca487cfba62&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Tela de detalhes dos eventos,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,8 de mar. de 2023,15,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=e6d2d977-6c94-4272-a7f6-cd043aa4c9de&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Resultado chave,Mapa encontre um evento,"Rafaela Rosso,Elio Lima,andrei vedovato",Active,,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Goal&entityId=7d7feb78-f27c-4df8-8c34-7589e0b119ec&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço para chamar localizacoes nas proximidades do usuario,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=60a4cd2e-a22f-4a52-b48d-6a2d380c5394&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Tela de Mapa,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=9771346a-1827-475c-9cdc-38d27292b5b7&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Resultado chave,Login social,"Rafaela Rosso,Elio Lima,andrei vedovato",Active,,10 de mar. de 2023,17,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Goal&entityId=22ede6f9-1799-41dc-95da-0dd3a2e70761&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,DB - Tabela de Usuários,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,5 de mar. de 2023,12,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=0f4db78e-bab1-4d91-a35c-a8d483cda884&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviços de logout,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,15 de mar. de 2023,22,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=3e6445f1-8763-4e8e-bb46-00c6ef64bf69&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,API - Serviço de autenticação,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,15 de mar. de 2023,22,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=af33ef01-235d-4651-8703-e98a4890c472&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d
Tarefa,APP - Tela de login,"Rafaela Rosso,Elio Lima,andrei vedovato",Sprint,Low,15 de mar. de 2023,22,,,,,,,https://goals.keepsolid.com/1683ffad-762e-41a3-96bb-4636fc9b3c1a/a45e7326-66a8-4ca4-9687-dd2b218bb60d/worksheet?entityType=Task&entityId=be3a5adf-ce33-4013-80dc-f401798e3c25&entityRelationId=a45e7326-66a8-4ca4-9687-dd2b218bb60d